5132	2135	0
4650	1645	11
1823	2052	7
6076	2332	6
5132	2128	1
5309	2710	1
2595	7563	0
5680	2205	2
6063	1196	124
5134	2134	2
2578	3720	1
4275	5505	0
3894	4672	0
4803	1428	1
3341	7299	0
3055	7630	0
2366	8092	0
1385	8267	18
3433	3143	15
2629	8738	8
3160	8636	6
2755	8836	1
1554	7453	8
4505	3261	1
2824	450	15
4313	4526	0
5064	1591	1
2802	3572	11
2256	4686	0
3019	1074	1
2666	3414	0
4184	1070	1
4438	3304	28
4119	2800	0
2778	7010	0
2916	7626	0
4025	2285	111
5677	2071	6
5752	2656	0
5155	1771	0
3056	1378	11
5203	2798	0
5556	3580	110
4985	3756	7
2378	6958	0
2384	6235	4
4057	4423	0
1661	281	9
3146	1199	0
4958	3483	2
1952	2166	0
3270	1051	7
3008	5108	1
5194	2884	17
4120	2797	0
2251	649	14
1642	411	5
4259	3214	15
3975	2970	0
5847	2123	9
2747	1928	1
2411	2205	2
3627	4346	0
5187	2478	6
2633	2836	7
3632	5936	0
4903	2676	14
3773	1644	0
5419	4150	82
5514	1687	0
5380	1730	0
4867	1554	0
